1,Venezolana
2,Afgana
3,Albanesa
4,Alemana
5,Alto volteña
6,Andorrana
7,Angoleña
8,Argelina
9,Argentina
10,Australiana
11,Austriaca
12,Bahamesa
13,Bahreina
14,Bangladesha
15,Barbadesa
16,Belga
17,Beliceña
18,Bermudesa
19,Birmana
20,Boliviana
21,Botswanesa
22,Brasileña
23,Bulgara
24,Burundesa
25,Butana
26,Camboyana
27,Camerunesa
28,Canadiense
29,Centroafricana
30,Chadeña
31,Checoslovaca
32,Chilena
33,China
34,China
35,Chipriota
36,Colombiana
37,Congoleña
38,Costarricense
39,Cubana
40,Dahoneya
41,Danes
42,Dominicana
43,Ecuatoriana
44,Egipcia
45,Emirata
46,Escosesa
47,Eslovaca
48,Española
49,Estona
50,Etiope
51,Fijena
52,Filipina
53,Finlandesa
54,Francesa
55,Gabiana
56,Gabona
57,Galesa
58,Ghanesa
59,Granadeña
60,Griega
61,Guatemalteca
62,Guinesa Ecuatoriana
63,Guinesa
64,Guyanesa
65,Haitiana
66,Holandesa
67,Hondureña
68,Hungara
69,India
70,Indonesa
71,Inglesa
72,Iraki
73,Irani
74,Irlandesa
75,Islandesa
76,Israeli
77,Italiana
78,Jamaiquina
79,Japonesa
80,Jordana
81,Katensa
82,Keniana
83,Kuwaiti
84,Laosiana
85,Leonesa
86,Lesothensa
87,Letonesa
88,Libanesa
89,Liberiana
90,Libeña
91,Liechtenstein
92,Lituana
93,Luxemburgo
94,Madagascar
95,Malaca
96,Malawi
97,Maldivas
98,Mali
99,Maltesa
100,Marfilesa
101,Marroqui
102,Mauricio
103,Mauritana
104,Mexicana
105,Monaco
106,Mongolesa
107,Nauru
108,Neozelandesa
109,Nepalesa
110,Nicaraguense
111,Nigerana
112,Nigeriana
113,Norcoreana
114,Norirlandesa
115,Norteamericana
116,Noruega
117,Omana
118,Pakistani
119,Panameña
120,Paraguaya
121,Peruana
122,Polaca
123,Portoriqueña
124,Portuguesa
125,Rhodesiana
126,Ruanda
127,Rumana
128,Rusa
129,Salvadoreña
130,Samoa Occidental
131,San marino
132,Saudi
133,Senegalesa
134,Sikkim
135,Singapur
136,Siria
137,Somalia
138,Sovietica
139,Sri Lanka
140,Suazilandesa
141,Sudafricana
142,Sudanesa
143,Sueca
144,Suiza
145,Surcoreana
146,Tailandesa
147,Tanzana
148,Tonga
149,Tongo
150,Trinidad y Tobago
151,Tunecina
152,Turca
153,Ugandesa
154,Uruguaya
155,Vaticano
156,Vietnamita
157,Yemen Rep Arabe
158,Yemen Rep Dem
159,Yugoslava
160,Zaire
